experiment_id,work,dataset,setting,method,metric,value,std,source_file,source_table_or_figure,verified,status,notes

EXP-BM-DOM-001,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,A-Dice,0.672,0.021,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-002,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,BWTR,-0.242,0.039,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-003,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,RMA,1.086,0.014,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-004,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,E-FWT,0.255,0.152,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-005,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-006,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-EWC,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-007,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,A-Dice,0.676,0.024,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-008,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,BWTR,-0.236,0.042,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-009,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,RMA,1.084,0.008,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-010,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,E-FWT,0.259,0.151,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-011,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,MPE,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-012,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-SI,DRR,0,,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-013,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-LwF,A-Dice,0.663,0.029,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
EXP-BM-DOM-014,Benchmark,NCI-ISBI13+I2CVB+PROMISE12,Domain-CL six-center sequence,Regu-LwF,BWTR,-0.090,0.027,sources/benchmark/Benchmark_pa/main.tex,tab:domain-cl,yes,source_extracted,
